len_in_AAs,num_parts,sim,0
5,3,0,66.0
5,3,1,152.0
5,3,2,41.0
5,3,3,118.0
5,3,4,93.0
5,3,5,77.0
5,3,6,106.0
5,3,7,132.0
5,3,8,94.0
5,3,9,91.0
5,3,10,103.0
5,3,11,63.0
5,3,12,170.0
5,3,13,94.0
5,3,14,145.0
5,3,15,104.0
5,3,16,114.0
5,3,17,13.0
5,3,18,97.0
5,3,19,62.0
5,3,20,111.0
5,3,21,77.0
5,3,22,118.0
5,3,23,130.0
5,3,24,99.0
5,3,25,85.0
5,3,26,15.0
5,3,27,69.0
5,3,28,88.0
5,3,29,45.0
5,3,30,113.0
5,3,31,60.0
5,3,32,127.0
5,3,33,120.0
5,3,34,126.0
5,3,35,71.0
5,3,36,139.0
5,3,37,40.0
5,3,38,71.0
5,3,39,98.0
5,3,40,89.0
5,3,41,55.0
5,3,42,106.0
5,3,43,125.0
5,3,44,112.0
5,3,45,134.0
5,3,46,25.0
5,3,47,96.0
5,3,48,64.0
5,3,49,125.0
5,3,50,74.0
5,3,51,104.0
5,3,52,153.0
5,3,53,80.0
5,3,54,98.0
5,3,55,83.0
5,3,56,137.0
5,3,57,103.0
5,3,58,107.0
5,3,59,80.0
5,3,60,35.0
5,3,61,151.0
5,3,62,7.0
5,3,63,133.0
5,3,64,102.0
5,3,65,96.0
5,3,66,71.0
5,3,67,47.0
5,3,68,159.0
5,3,69,89.0
5,3,70,104.0
5,3,71,123.0
5,3,72,51.0
5,3,73,81.0
5,3,74,163.0
5,3,75,43.0
5,3,76,118.0
5,3,77,53.0
5,3,78,113.0
5,3,79,53.0
5,3,80,132.0
5,3,81,35.0
5,3,82,64.0
5,3,83,45.0
5,3,84,87.0
5,3,85,51.0
5,3,86,153.0
5,3,87,148.0
5,3,88,97.0
5,3,89,37.0
5,3,90,41.0
5,3,91,71.0
5,3,92,101.0
5,3,93,88.0
5,3,94,114.0
5,3,95,100.0
5,3,96,116.0
5,3,97,54.0
5,3,98,99.0
5,3,99,156.0
5,5,0,33.0
5,5,1,23.0
5,5,2,24.0
5,5,3,20.0
5,5,4,24.0
5,5,5,4.0
5,5,6,17.0
5,5,7,11.0
5,5,8,25.0
5,5,9,30.0
5,5,10,17.0
5,5,11,15.0
5,5,12,17.0
5,5,13,28.0
5,5,14,17.0
5,5,15,24.0
5,5,16,6.0
5,5,17,13.0
5,5,18,20.0
5,5,19,13.0
5,5,20,24.0
5,5,21,18.0
5,5,22,20.0
5,5,23,25.0
5,5,24,19.0
5,5,25,16.0
5,5,26,8.0
5,5,27,29.0
5,5,28,16.0
5,5,29,16.0
5,5,30,11.0
5,5,31,16.0
5,5,32,15.0
5,5,33,24.0
5,5,34,14.0
5,5,35,14.0
5,5,36,33.0
5,5,37,21.0
5,5,38,13.0
5,5,39,11.0
5,5,40,29.0
5,5,41,21.0
5,5,42,19.0
5,5,43,27.0
5,5,44,17.0
5,5,45,24.0
5,5,46,25.0
5,5,47,20.0
5,5,48,7.0
5,5,49,19.0
5,5,50,11.0
5,5,51,17.0
5,5,52,24.0
5,5,53,20.0
5,5,54,21.0
5,5,55,16.0
5,5,56,14.0
5,5,57,23.0
5,5,58,18.0
5,5,59,22.0
5,5,60,10.0
5,5,61,9.0
5,5,62,2.0
5,5,63,19.0
5,5,64,11.0
5,5,65,10.0
5,5,66,13.0
5,5,67,28.0
5,5,68,21.0
5,5,69,27.0
5,5,70,16.0
5,5,71,13.0
5,5,72,24.0
5,5,73,14.0
5,5,74,18.0
5,5,75,15.0
5,5,76,26.0
5,5,77,36.0
5,5,78,37.0
5,5,79,7.0
5,5,80,17.0
5,5,81,6.0
5,5,82,25.0
5,5,83,12.0
5,5,84,15.0
5,5,85,20.0
5,5,86,18.0
5,5,87,21.0
5,5,88,31.0
5,5,89,13.0
5,5,90,23.0
5,5,91,21.0
5,5,92,32.0
5,5,93,27.0
5,5,94,9.0
5,5,95,17.0
5,5,96,14.0
5,5,97,5.0
5,5,98,26.0
5,5,99,30.0
5,7,0,6.0
5,7,1,4.0
5,7,2,4.0
5,7,3,2.0
5,7,4,8.0
5,7,5,2.0
5,7,6,2.0
5,7,7,1.0
5,7,8,2.0
5,7,9,6.0
5,7,10,5.0
5,7,11,5.0
5,7,12,5.0
5,7,13,2.0
5,7,14,1.0
5,7,15,6.0
5,7,16,3.0
5,7,17,1.0
5,7,18,3.0
5,7,19,2.0
5,7,20,5.0
5,7,21,2.0
5,7,22,3.0
5,7,23,2.0
5,7,24,5.0
5,7,25,2.0
5,7,26,5.0
5,7,27,5.0
5,7,28,4.0
5,7,29,7.0
5,7,30,7.0
5,7,31,4.0
5,7,32,6.0
5,7,33,4.0
5,7,34,2.0
5,7,35,7.0
5,7,36,4.0
5,7,37,4.0
5,7,38,2.0
5,7,39,5.0
5,7,40,5.0
5,7,41,4.0
5,7,42,8.0
5,7,43,6.0
5,7,44,6.0
5,7,45,4.0
5,7,46,9.0
5,7,47,4.0
5,7,48,2.0
5,7,49,6.0
5,7,50,8.0
5,7,51,2.0
5,7,52,6.0
5,7,53,7.0
5,7,54,8.0
5,7,55,4.0
5,7,56,6.0
5,7,57,5.0
5,7,58,2.0
5,7,59,5.0
5,7,60,5.0
5,7,61,7.0
5,7,62,1.0
5,7,63,4.0
5,7,64,8.0
5,7,65,4.0
5,7,66,2.0
5,7,67,9.0
5,7,68,10.0
5,7,69,4.0
5,7,70,6.0
5,7,71,3.0
5,7,72,7.0
5,7,73,7.0
5,7,74,5.0
5,7,75,2.0
5,7,76,7.0
5,7,77,4.0
5,7,78,4.0
5,7,79,4.0
5,7,80,5.0
5,7,81,1.0
5,7,82,6.0
5,7,83,5.0
5,7,84,8.0
5,7,85,3.0
5,7,86,6.0
5,7,87,6.0
5,7,88,3.0
5,7,89,5.0
5,7,90,6.0
5,7,91,1.0
5,7,92,8.0
5,7,93,11.0
5,7,94,5.0
5,7,95,5.0
5,7,96,5.0
5,7,97,1.0
5,7,98,1.0
5,7,99,5.0
6,3,0,296.0
6,3,1,531.0
6,3,2,535.0
6,3,3,570.0
6,3,4,412.0
6,3,5,407.0
6,3,6,604.0
6,3,7,504.0
6,3,8,312.0
6,3,9,234.0
6,3,10,415.0
6,3,11,672.0
6,3,12,833.0
6,3,13,446.0
6,3,14,308.0
6,3,15,495.0
6,3,16,388.0
6,3,17,527.0
6,3,18,396.0
6,3,19,258.0
6,3,20,420.0
6,3,21,181.0
6,3,22,614.0
6,3,23,144.0
6,3,24,454.0
6,3,25,363.0
6,3,26,544.0
6,3,27,585.0
6,3,28,367.0
6,3,29,509.0
6,3,30,487.0
6,3,31,422.0
6,3,32,498.0
6,3,33,673.0
6,3,34,456.0
6,3,35,226.0
6,3,36,577.0
6,3,37,491.0
6,3,38,267.0
6,3,39,600.0
6,3,40,384.0
6,3,41,695.0
6,3,42,330.0
6,3,43,378.0
6,3,44,501.0
6,3,45,461.0
6,3,46,252.0
6,3,47,664.0
6,3,48,489.0
6,3,49,229.0
6,3,50,408.0
6,3,51,740.0
6,3,52,495.0
6,3,53,462.0
6,3,54,634.0
6,3,55,624.0
6,3,56,512.0
6,3,57,512.0
6,3,58,408.0
6,3,59,708.0
6,3,60,538.0
6,3,61,304.0
6,3,62,264.0
6,3,63,91.0
6,3,64,624.0
6,3,65,299.0
6,3,66,452.0
6,3,67,281.0
6,3,68,493.0
6,3,69,493.0
6,3,70,249.0
6,3,71,457.0
6,3,72,741.0
6,3,73,158.0
6,3,74,670.0
6,3,75,667.0
6,3,76,445.0
6,3,77,635.0
6,3,78,351.0
6,3,79,636.0
6,3,80,310.0
6,3,81,430.0
6,3,82,689.0
6,3,83,504.0
6,3,84,788.0
6,3,85,438.0
6,3,86,387.0
6,3,87,491.0
6,3,88,466.0
6,3,89,476.0
6,3,90,483.0
6,3,91,560.0
6,3,92,802.0
6,3,93,670.0
6,3,94,730.0
6,3,95,391.0
6,3,96,557.0
6,3,97,315.0
6,3,98,475.0
6,3,99,287.0
6,5,0,31.0
6,5,1,26.0
6,5,2,15.0
6,5,3,26.0
6,5,4,25.0
6,5,5,22.0
6,5,6,24.0
6,5,7,21.0
6,5,8,21.0
6,5,9,12.0
6,5,10,14.0
6,5,11,10.0
6,5,12,7.0
6,5,13,17.0
6,5,14,24.0
6,5,15,21.0
6,5,16,12.0
6,5,17,5.0
6,5,18,22.0
6,5,19,12.0
6,5,20,19.0
6,5,21,13.0
6,5,22,8.0
6,5,23,26.0
6,5,24,20.0
6,5,25,15.0
6,5,26,21.0
6,5,27,14.0
6,5,28,20.0
6,5,29,25.0
6,5,30,14.0
6,5,31,11.0
6,5,32,12.0
6,5,33,38.0
6,5,34,4.0
6,5,35,7.0
6,5,36,13.0
6,5,37,19.0
6,5,38,19.0
6,5,39,9.0
6,5,40,19.0
6,5,41,22.0
6,5,42,16.0
6,5,43,22.0
6,5,44,3.0
6,5,45,14.0
6,5,46,4.0
6,5,47,19.0
6,5,48,19.0
6,5,49,23.0
6,5,50,6.0
6,5,51,13.0
6,5,52,10.0
6,5,53,24.0
6,5,54,18.0
6,5,55,14.0
6,5,56,27.0
6,5,57,28.0
6,5,58,15.0
6,5,59,14.0
6,5,60,31.0
6,5,61,16.0
6,5,62,25.0
6,5,63,12.0
6,5,64,18.0
6,5,65,9.0
6,5,66,26.0
6,5,67,26.0
6,5,68,16.0
6,5,69,33.0
6,5,70,3.0
6,5,71,19.0
6,5,72,12.0
6,5,73,15.0
6,5,74,24.0
6,5,75,23.0
6,5,76,21.0
6,5,77,14.0
6,5,78,17.0
6,5,79,18.0
6,5,80,14.0
6,5,81,24.0
6,5,82,19.0
6,5,83,24.0
6,5,84,19.0
6,5,85,38.0
6,5,86,13.0
6,5,87,17.0
6,5,88,8.0
6,5,89,14.0
6,5,90,17.0
6,5,91,8.0
6,5,92,10.0
6,5,93,21.0
6,5,94,6.0
6,5,95,20.0
6,5,96,14.0
6,5,97,22.0
6,5,98,15.0
6,5,99,13.0
6,7,0,1.0
6,7,1,4.0
6,7,2,4.0
6,7,3,7.0
6,7,4,2.0
6,7,5,2.0
6,7,6,4.0
6,7,7,7.0
6,7,8,2.0
6,7,9,5.0
6,7,10,3.0
6,7,11,8.0
6,7,12,4.0
6,7,13,4.0
6,7,14,6.0
6,7,15,4.0
6,7,16,2.0
6,7,17,1.0
6,7,18,5.0
6,7,19,2.0
6,7,20,2.0
6,7,21,2.0
6,7,22,4.0
6,7,23,1.0
6,7,24,12.0
6,7,25,2.0
6,7,26,9.0
6,7,27,6.0
6,7,28,1.0
6,7,29,8.0
6,7,30,7.0
6,7,31,4.0
6,7,32,5.0
6,7,33,2.0
6,7,34,2.0
6,7,35,2.0
6,7,36,6.0
6,7,37,3.0
6,7,38,4.0
6,7,39,3.0
6,7,40,7.0
6,7,41,10.0
6,7,42,3.0
6,7,43,5.0
6,7,44,2.0
6,7,45,6.0
6,7,46,3.0
6,7,47,5.0
6,7,48,7.0
6,7,49,3.0
6,7,50,3.0
6,7,51,7.0
6,7,52,6.0
6,7,53,5.0
6,7,54,7.0
6,7,55,6.0
6,7,56,8.0
6,7,57,7.0
6,7,58,3.0
6,7,59,3.0
6,7,60,4.0
6,7,61,4.0
6,7,62,5.0
6,7,63,1.0
6,7,64,1.0
6,7,65,5.0
6,7,66,5.0
6,7,67,3.0
6,7,68,9.0
6,7,69,9.0
6,7,70,2.0
6,7,71,7.0
6,7,72,2.0
6,7,73,5.0
6,7,74,6.0
6,7,75,6.0
6,7,76,8.0
6,7,77,1.0
6,7,78,2.0
6,7,79,6.0
6,7,80,4.0
6,7,81,3.0
6,7,82,2.0
6,7,83,8.0
6,7,84,4.0
6,7,85,6.0
6,7,86,3.0
6,7,87,1.0
6,7,88,4.0
6,7,89,9.0
6,7,90,6.0
6,7,91,3.0
6,7,92,5.0
6,7,93,5.0
6,7,94,2.0
6,7,95,4.0
6,7,96,6.0
6,7,97,3.0
6,7,98,3.0
6,7,99,3.0
7,3,0,1710.0
7,3,1,851.0
7,3,2,979.0
7,3,3,565.0
7,3,4,987.0
7,3,5,1267.0
7,3,6,989.0
7,3,7,1182.0
7,3,8,1331.0
7,3,9,985.0
7,3,10,1246.0
7,3,11,982.0
7,3,12,544.0
7,3,13,304.0
7,3,14,1160.0
7,3,15,664.0
7,3,16,821.0
7,3,17,1017.0
7,3,18,395.0
7,3,19,1097.0
7,3,20,1407.0
7,3,21,964.0
7,3,22,644.0
7,3,23,1039.0
7,3,24,1661.0
7,3,25,1911.0
7,3,26,591.0
7,3,27,633.0
7,3,28,687.0
7,3,29,570.0
7,3,30,1187.0
7,3,31,618.0
7,3,32,1206.0
7,3,33,1268.0
7,3,34,1055.0
7,3,35,1584.0
7,3,36,726.0
7,3,37,1044.0
7,3,38,1346.0
7,3,39,1963.0
7,3,40,545.0
7,3,41,1605.0
7,3,42,838.0
7,3,43,135.0
7,3,44,750.0
7,3,45,1247.0
7,3,46,350.0
7,3,47,1290.0
7,3,48,846.0
7,3,49,553.0
7,3,50,338.0
7,3,51,1691.0
7,3,52,1090.0
7,3,53,1170.0
7,3,54,996.0
7,3,55,1017.0
7,3,56,1698.0
7,3,57,1628.0
7,3,58,926.0
7,3,59,1075.0
7,3,60,1565.0
7,3,61,1173.0
7,3,62,569.0
7,3,63,1324.0
7,3,64,990.0
7,3,65,783.0
7,3,66,1304.0
7,3,67,1303.0
7,3,68,1714.0
7,3,69,140.0
7,3,70,953.0
7,3,71,975.0
7,3,72,1689.0
7,3,73,1385.0
7,3,74,1115.0
7,3,75,852.0
7,3,76,947.0
7,3,77,1153.0
7,3,78,927.0
7,3,79,1588.0
7,3,80,1253.0
7,3,81,1716.0
7,3,82,330.0
7,3,83,1081.0
7,3,84,937.0
7,3,85,1503.0
7,3,86,1779.0
7,3,87,1586.0
7,3,88,1501.0
7,3,89,1080.0
7,3,90,1412.0
7,3,91,223.0
7,3,92,1043.0
7,3,93,975.0
7,3,94,1486.0
7,3,95,1221.0
7,3,96,1578.0
7,3,97,1007.0
7,3,98,726.0
7,3,99,956.0
7,5,0,34.0
7,5,1,51.0
7,5,2,44.0
7,5,3,24.0
7,5,4,26.0
7,5,5,25.0
7,5,6,40.0
7,5,7,38.0
7,5,8,63.0
7,5,9,68.0
7,5,10,30.0
7,5,11,34.0
7,5,12,48.0
7,5,13,52.0
7,5,14,49.0
7,5,15,10.0
7,5,16,5.0
7,5,17,36.0
7,5,18,41.0
7,5,19,18.0
7,5,20,46.0
7,5,21,23.0
